Quarter Year,Quarter Number,Revenue_last_calendar_qtr,Revenue_last_year_qtr,Revenue_this_quarter
Q4 2020,4,"1,469,769","1,381,381","1,476,952"
Q3 2020,3,"1,311,345","1,380,058","1,469,769"
Q2 2020,2,"1,363,543","1,361,913","1,311,345"
Q1 2020,1,"1,381,381","1,338,405","1,363,543"
Q4 2019,4,"1,380,058","1,345,243","1,386,158"
Q3 2019,3,"1,361,913","1,339,375","1,380,058"
Q2 2019,2,"1,338,405","1,328,094","1,361,913"
Q1 2019,1,"1,335,623","1,308,087","1,338,405"
Q4 2018,4,"1,339,375","1,304,289","1,345,243"
Q3 2018,3,"1,328,094","1,269,763","1,339,375"
Q2 2018,2,"1,308,087","1,254,819","1,328,094"
Q1 2018,1,"1,304,547","1,251,161","1,308,087"
